review,rating
sangat bagus,5
bes,5
terimakasih,5
terimakasih,5
"iklan gak bisa keluar, stak di shopee terus iklannya, padahal mau lihat waktu sholat",1
aplikasi jadwal sholat tapi ngiklanin riba,2
"iklannya nganggu parah sampai gabisa buka apk nya, nasib ke tempat baru mau lihat waktu solat jadi gabisa, cari apk baru aja lah",1
terlalu banyak iklan nya,3
mau ngaji malah kebanyakan iklan,1
"mohon di perbaiki kembali, tombol menu di bawah tidak bisa di klik, setelah update menu tidak bisa lagi di klik",5
kenapa yah kok gak bisa diputar pakai suara,1
"makin lama makin ga jelas, suka ngebug. notif azan ga sesuai kadang jauh sebelum waktu azan udah azan, trus iklan banyak tak di filter. udah hampir 5 tahun instal bukanya makin bagus malah makin ga jelas.. maaf uinstal.. trimakasih.",1
aplikasi nya sangat membantu namun akhir-akhir ini aplikasinya untuk jadwal adzan tidak sesuai waktunya. tolong diperhatikan min,3
Mohon maaf aplikasi ini sangat mengganggu sekali ketika ada iklan saya tidak dengan iklan ini SAYA MAU IKLANNYA DI HAPUS😒,5
iklanya sangat mengganggu . membuat aplikasi ini ga bermanaaaf lagi,1
banyak iklan,1
"terima kasih dan sangat membantu sekali cuma pas buka app harus menunggu terlebih dahulu karna banyak iklan yg lewat seperti gam"" oll gmana caranya supaya iklan"" itu tidak lewat di app muslim pro🙏🙏🙏",5
bintang 1 dulu iya mungkin saya tidak berlangganan tapi tidak iklan judol juga di embat ini aplikasi untuk muslim tapi kenapa ada iklan judol didalamnya parah sih kalau masih ada maaf sya uninstall,1
"iklannya membagongkan, pusing jadinya di uninstal saja hapus permanen, kapok download aplikasi ini",1
"mungkin iklan yg diaplikasi masih terkait agama, masa iya iklannya pinjol",1
"aplikasi keagamaan kok iklannya pinjol, apa berkah kaya gitu?",1
aku bisa belajar agama lebih baik,4
"Kebanyakan IKLAN SKRANG BRO. DULU LIAT WAKTU SHOLAT AJA TINGGL BUKA, INI SKRANG LIAT WAKTU SHOLAT MELEWATI 3IKLAN DULU(DIPERSULIT).",1
Aplikasi ini sangat baik seharusnya.. Tetapi skrng sudah dipenuhi iklan game dll.. Menurut saya sudah sangat mengganggu....,3
alhamdulilah bang pahalaku +1000000000000,5
bersiap untukasa ug segera datang,5
Aplikasinya mantap,5
masyaallah,5
bagus banget ini,5
saya suka,5
"update terbaru iklanya sudah sangat mengganggu, terlalu berlebihan dari biasanya. mau baca alquran terus menerus di kasih iklan pinjol.",1
"amat sangat membantu, terimakasih",5
Mohon maaf kebanyakan iklan dan aplikasi sering troubel,2
TO MUCH ADVERTISING,1
banyak iklan nya,3
sangat mendukung apelikasinya terimakasih bawa kita selalu ingat waktu sholat sebagai agama muslimsekian,5
setiap pencet ada iklan,1
ok,5
Yyy r ay,2
lengkap bagus.,4
bagus,4
Iklan nya terlalu banyakkkkkkkk,1
"bagus untuk anak yang malas sholat, murojaah, dan berzikir. sangat direkomendasikan",5
lagi buru2 pengen liat kiblat tapi malah iklan dulu lama banget gila,1
"udah beli paket premium. tapi setiap pembaruan minta di bayar lagi. enggak di bayar, enggak bisa di gunakan.",1
aplikasi makin banyak iklan otw hapus,1
"Mohon perhatikan untuk Iklannya, semoga kedepannya bukan mengiklankan tentang game judi, meskipun memang bukan judi asli, tapi mengiklankan game judi sangat kurang buat aplikasi ini",4
"ribett banyak iklan ,,ga ada manfaat banyak,, rugii waktu",1
"kok kalau buka aplikasinya banyak iklan yang tidak pantas, pdahal ini aplikasi islami",4
okkeh,4
"Alhamdulillah ilmu dan wawasan pengetahuan tentang Islam bertambah buat saya ,,,mksih ya Allah dan mksih yg sudah buat aplikasi ini ...ilmu yg bermanfaat amal,dan zakat semua itu bekal untuk kita kelak nanti di akhirat,,,wahai saudara saudara ku semoga kita semua masuk surga nya Allah,, dengan kita mendekatkan diri kepada Allah menjalankan semua perintah Allah,,rukun Islam dan imam harus kita jalankan semua nya dan meng imanin nya....",5
Sangat suka dengan aplikasi ini karena memudahkan saya membaca Alquran dan bisa baca di mana saja saat kita perlukan juga lengkap denagan jadwal shalat.,5
Aplikasi aneh. mau baca Alquran di suruh nonton iklan,1
jelek ganiat banyak iklan,1
aplikasi gy sangat bagus,5
"Assalamualaikum wr.wb Saya ingin menyarankan agar: 1. Jadwal imsak bisa dibuat sebagai notifikasi seperti waktu terbit matahari. 2. Nama surah ditampilkan dalam bahasa Indonesia. 3. Ada fitur pencarian surah tanpa perlu mengetik tanda (‘), misalnya cukup dengan mengetik “Alaa” atau “Al-Alaa” saat mencari surah Al-A’laa, karena tidak semua pengguna tahu ejaan spesifiknya. Wassalamualaikum wr.wb",4
Mohon penempatan iklannya jangan langsung muncul begitu aplikasi dibuka. Saya sering dalam kondisi buru-buru jadi sangat terganggu kalau mau ngecek jadwal sholat aja harus nonton iklan dulu,1
Udah pake muslim pro dari 2020 yg ngeganggu iklan2nya aja soalnya saya ga update berbayar,5
Good App,5
pake email segala bangke,1
"kebanyakan iklan namanya saja islam tp untuk baca alquran aja susah, tolong developer kalo mau bikin aplikasi yg menghasilkan uang mending jangan menyangkut pautkan agama",1
iklannya maksa,1
"terlalu banyak iklan saat buka aplikasi, belum juga buka Qur'an, iklannya malah pinjol semua. capek deh",2
aplikasi ini bagus untuk pengingat sholat,5
bintang satu,5
iklannya ganggu banget 😫,1
sangat terbantu dgn ada nya aplikasi ini,5
sangat membantu smga berkah,5
💖,5
"hanya karna ingin liat jadwal sholat, selalu iklan, terlalu banyak iklan",3
kacau sih aplikasi pengingat sholat tapi ada iklan judol,1
terlalu byk iklan,3
"salam,sy sdh perpanjang untuk premium namun blm ter update menjadi premium,tolong di tindak lanjuti,terimakasih",5
bagus,5
"Sudah bayar pro gak bisa masuk, tdk ada penjelasan, tolong dong kemana harus komplen...",3
sangat tidak suka tidak ada adzan otomatisnya,1
"banyak iklan, sekali sentuh langsung iklan",1
I like and the best apps barakallah,5
cocok untuk mendengarkan QUR'AN,5
"iklan yang terlalu bikin emosi !!! kalo masih banyak iklan gua copot ni aplikasi, sampah bgt.",1
terprifikasi,5
"mari masuk aplikasi muncul iklan, tiap klik iklan mulu kebanyakan iklan",1
Sangat membantu,5
sudah langganan tapi iklan tetap berjalan....terus apa gunanya langganan,1
baik,4
"sudah lengkap, maaf tapi saya sangat terganggu dengan semua iklan iklan yang ada . terimakasih",2
memank bener bahwa orang tidak takut halal dan haram lagi lawong saldo di dana saya ke potong tapi gak bisa masuk ke muslim pro tanpa iklan.. ini malahan harus upgrade lagi kalo mau masuk muslim pro dan harus berkali kali saya hapus aplikasi nya baru bisa masuk ke muslim pro nya,1
"banyak iklan, miris lg iklan nya promosi judol pdhl apk islami, tlol tlol",1
Bagusan yang pertama kali...kalau dulu tulisan Al Quran dan artinya bisa dicopy paste jadi mudah berbagi ilmu..(Amalkan walaupun hanya 1 ayat..),2
Semoga yang buat apk masuk surga dan dipermudah semua urusannya didunia maupun akherat,5
"kebanyakan iklan, sangat menggangu saat mengaji",3
sangat bermanfaat,5
bismillah,5
aplikasinya sangat membantu tapi sayangnya saya sudah berlangganan premium tapi masih ada iklan dan tidak semua fitur kebuka jdi seperti tidak berlangganan :(,3
aplikasi yang bagus,5
bagus tepat waktu,5
malah nyusahin,1
"pantas kasi bintang 5, memudahkan untuk menghapal surah,wajib download",5
"aplikasinya baguss banget, dengan fitur super lengkap, jelas, terstruktur, dan mudah dipahami.",5
",,kebanyakan iklan,,!!!",3
bagus dibuat anak kecil,5
muslim pro sangat bermanfaat terutama waktu sholat,4
masyaallah dengan ini saya mudah menghafal alhamdulillah,5
membantu sekali,5
bagus,5
